"שם האירוע","מועד האירוע","מיקום האירוע","כמות כרטיסים שהוקצו","כמות כרטיסים שנמכרו","סה""כ מכירות בש""ח","סה""כ החזרים בש""ח","סה""כ עמלות בש""ח","סה""כ למוכר בש""ח","סה""כ מזומן"
"וונדר וומן 19/12","19.12.2018 21:00","אולם 6",250,0,0,0,0,0,0
"אזימוט 19/12","19.12.2018 21:30","אולם 6",250,6,50,0,1.05,19.95,29
"וונדר וומן 20/12 ב10 ש""ח!","20.12.2018 21:00","אולם 6",250,0,0,0,0,0,0
"הנערה ברשת העכביש 20/12","20.12.2018 21:30","אולם 5",250,4,0,0,0,0,0
"הנערה ברשת העכביש 22/12","22.12.2018 21:30","אולם 5",250,6,42,0,2.1,39.9,0
"אזימוט 22/12","22.12.2018 21:30","אולם 6",250,4,29,0,1.45,27.55,0
"אלמנות 23/12","23.12.2018 21:00","אולם 5",250,5,0,0,0,0,0
"מנשה 23/11","23.12.2018 21:30","אולם 6",250,2,0,0,0,0,0
"מנשה 24/12","23.12.2018 21:30","אולם 6",250,0,0,0,0,0,0
"חיות הפלא: הפשעים של גרינוולד 24/12","24.12.2018 21:00","אולם 5",250,50,496,0,20.6,391.4,84
"מנשה 24/12","24.12.2018 21:30","אולם 6",250,2,0,0,0,0,0
"אלמנות 25/12","25.12.2018 21:00","אולם 5",250,22,46,0,1.05,19.95,25
"אישה צועדת קדימה 25/12","25.12.2018 21:00","אולם 5",250,1,0,0,0,0,0
"חיות הפלא הפשעים של.. 26/12","26.12.2018 21:00","אולם 5",250,35,475,0,18.85,358.15,98
"אישה צועדת קדימה 26/12","26.12.2018 21:30","אולם 6",250,0,0,0,0,0,0
"חיות הפלא: הפשעים של גרינוולד 27/12","27.12.2018 21:00","אולם 5",250,45,413,0,15.95,303.05,94
"מנשה 27/12","27.12.2018 21:30","אולם 6",250,0,0,0,0,0,0
"הגרינץ' 28/12","28.12.2018 12:30","אולם 6",250,10,150,0,7.5,142.5,0
"אלמנות 29/12","29.12.2018 21:30","אולם 5",250,4,63,0,0,0,63
"אישה צועדת קדימה 29/12","29.12.2018 22:00","אולם 6",250,0,0,0,0,0,0
"City Of Joy שיחה והקרנה","30.12.2018 20:30","אולם 5",250,49,0,0,0,0,0
"קריד2 30/12","30.12.2018 21:00","אולם 5",250,12,105,0,2.1,39.9,63
"נשות החופש 1/1/19","01.01.2019 20:30","אולם 6",250,40,365,0,13.75,261.25,90
"סה לה וי 1/1","01.01.2019 21:00","אולם 6",250,3,0,0,0,0,0
"מופע הקולנוע של רוקי: קאסט נשי","02.01.2019 21:00","אולם 5",250,165,4079,52.55,183.35,3431.1,412
"סה לה וי 2/1","02.01.2019 21:00","אולם 6",250,1,0,0,0,0,0
"קריד 2 03/01","03.01.2019 21:00","אולם 5",250,6,25,0,1.25,23.75,0
"סה לה וי 3/1","03.01.2019 21:30","אולם 6",250,2,58,0,0,0,58
"קריד2 04/01","04.01.2019 21:00","אולם 5",250,0,0,0,0,0,0
"קריד 2 05/01","05.01.2019 21:30","אולם 5",250,2,0,0,0,0,0
"סה לה וי 5/1","05.01.2019 22:00","אולם 6",250,10,129,0,6.45,122.55,0
"מה יגידו כולם 6/1/19","06.01.2019 21:00","אולם 6",250,10,105,0,4.2,79.8,21
"אין בתלולות בקריות 6/1","06.01.2019 21:30","אולם 5",250,3,21,0,1.05,19.95,0
"האחים סיסטרז 7.1","07.01.2019 21:00","אולם 6",250,5,21,0,0,0,21
"טרנזיט 7/11","07.01.2019 21:30","אולם 6",250,0,0,0,0,0,0
"מה יגידו כולם 8/1","08.01.2019 21:00","אולם 6",250,9,21,0,0,0,21
"אין בתולות בקריות 8/1","08.01.2019 21:30","אולם 5",250,4,0,0,0,0,0
"האחים סיסטרז 9.1","09.01.2019 21:00","אולם 6",250,6,42,0,1.05,19.95,21
"טרנזיט 9/1","09.01.2019 21:30","אולם 6",250,0,0,0,0,0,0
"האחים סיסטרז 10.1","10.01.2019 21:00","אולם 6",250,5,41,0,0,0,41
"טרנזיט 10/1","10.01.2019 21:30","אולם 6",250,3,0,0,0,0,0
"מה יגידו כולם 12/1","12.01.2019 21:30","אולם 6",250,9,133,0,1.45,27.55,104
"אין בתולות בקריות 12/1","12.01.2019 22:00","אולם 5",250,2,21,0,0,0,21
"אפ- סייד 13/1","13.01.2019 21:00","אולם 5",250,24,84,0,0,0,84
"אהבתה מרתיחה את מי האמבט 13/1","13.01.2019 21:30","אולם 6",250,5,0,0,0,0,0
"כוכב נולד 14/1","14.01.2019 21:00","אולם 5",250,32,329,37.8,10.45,160.75,120
"היעד...חתונה 14/1","14.01.2019 21:30","אולם 6",250,0,0,0,0,0,0
"אפ-סייד 15/1","15.01.2019 21:00","אולם 5",250,10,21,0,0,0,21
"היעד...חתונה 15/1","15.01.2019 21:30","אולם 6",250,5,42,0,0,0,42
"כוכב נולד 16/1","16.01.2019 21:00","אולם 5",250,14,176,0,7.75,147.25,21
"אהבתה מרתיחה את מי האמבט 16/1","16.01.2019 21:30","אולם 6",250,1,0,0,0,0,0
"אפ-סייד 17/1","17.01.2019 21:00","אולם 5",250,21,210,0,3.15,59.85,147
"אהבתה מרתיחה את מי האמבט 17/1","17.01.2019 21:30","אולם 6",250,4,29,0,0,0,29
"אפ-סייד 19/1","19.01.2019 21:30","אולם 5",250,7,92,0,3.55,67.45,21
"היעד...חתונה 19/1","19.01.2019 22:00","אולם 6",250,0,0,0,0,0,0
"ספיירדמן: מימד העכביש 20/1","20.01.2019 21:00","אולם 5",250,40,401,0,9.7,184.3,207
"מונטנה 20.1","20.01.2019 21:30","אולם 6",250,1,0,0,0,0,0
"אפסייד 21/1","21.01.2019 21:00","אולם 5",250,6,63,0,0,0,63
"על חוף צ'סיל 21/1","21.01.2019 21:30","אולם 6",250,3,0,0,0,0,0
"ספיידרמן : מימד העכביש 22/1","22.01.2019 21:00","אולם 5",250,35,384,0,7.75,147.25,229
"מונטנה 22/1","22.01.2019 21:30","אולם 6",250,3,21,0,0,0,21
"על חוף צס'יל 23/1","23.01.2019 21:00","אולם 6",250,5,21,0,1.05,19.95,0
"ספיידרמן : מימד העכביש 23/1","23.01.2019 21:30","אולם 5",250,29,238,0,11.9,226.1,0
"ספיידרמן : מימד העכביש 24/1","24.01.2019 21:00","אולם 5",250,27,377,0,10.9,207.1,159
"מונטנה 24/1","24.01.2019 21:30","אולם 6",250,7,92,0,3.15,59.85,29
"אפ-סייד 26/1","26.01.2019 21:30","אולם 5",250,8,81,0,1.05,19.95,60
"על חוף צ'סיל 26/1","26.01.2019 22:00","אולם 6",250,0,0,0,0,0,0
"סיפור אחר 27/1","27.01.2019 21:00","אולם 5",250,21,165,0,2.5,47.5,115
"מדינת הגמדים 27/1","27.01.2019 21:30","אולם 6",250,0,0,0,0,0,0
"גלימת השופט 27/1","27.01.2019 21:30","אולם 6",250,0,0,0,0,0,0
