19:43:35.267 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:43:35.436 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:43:35.604 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:43:35.782 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:48:01.998 INFO  CinemaSystem - undefined - User does not have proper permissions 
21:52:18.279 INFO  User - login - Incorrect user name(yubal) or password (123456)  
21:52:18.279 INFO  User - login - Incorrect user name(yuval) or password (wrongPassword)  
21:52:18.279 INFO  User - login - The yuval already connected 
21:52:18.309 INFO  User - login - Incorrect user name(yubal) or password (123456)  
21:52:18.309 INFO  User - login - Incorrect user name(yuval) or password (wrongPassword)  
21:52:18.309 INFO  User - login - The yuval already connected 
21:52:18.356 INFO  ServiceLayer - The login process failed - the yubal isn't exists on the system. 
21:52:18.403 INFO  ServiceLayer - The login process failed - the yubal isn't exists on the system. 
21:52:18.489 INFO  ServiceLayer - editEmployee - The addNewEmployee process failed - the -1 not exists on the system. 
21:52:18.537 INFO  CinemaSystem - editEmployee - The operation cannot be completed - the user is not connected to the system 
21:52:18.565 INFO  ServiceLayer - editEmployee - The addNewEmployee process failed - the -1 not exists on the system. 
21:52:18.615 INFO  EmployeeManagemnt- editEmployee - The -1 already exist 
21:52:18.686 INFO  CinemaSystem - editEmployee - The operation cannot be completed - the user is not connected to the system 
22:10:50.637 INFO  CinemaSystem - addNewSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.641 INFO  CinemaSystem - addNewSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.641 INFO  CinemaSystem - addNewSupplier - User does not have proper permissions 
22:10:50.641 INFO  CinemaSystem - editSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.641 INFO  CinemaSystem - editSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.644 INFO  CinemaSystem - editSupplier - User does not have proper permissions 
22:10:50.644 INFO  CinemaSystem - removeSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.644 INFO  CinemaSystem - removeSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.644 INFO  CinemaSystem - removeSupplier - User does not have proper permissions 
22:10:50.653 INFO  CinemaSystem - addNewSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.654 INFO  CinemaSystem - addNewSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.654 INFO  CinemaSystem - addNewSupplier - User does not have proper permissions 
22:10:50.655 INFO  CinemaSystem - editSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.655 INFO  CinemaSystem - editSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.655 INFO  CinemaSystem - editSupplier - User does not have proper permissions 
22:10:50.659 INFO  CinemaSystem - removeSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.659 INFO  CinemaSystem - removeSupplier - The operation cannot be completed - the user is not connected to the system 
22:10:50.659 INFO  CinemaSystem - removeSupplier - User does not have proper permissions 
22:10:55.366 INFO  CinemaSystem - createDailyReport - The operation cannot be completed - the user is not connected to the system 
22:10:55.366 INFO  CinemaSystem - createDailyReport - The operation cannot be completed - the user is not connected to the system 
